"Title","Rating","Summary","ReleaseDate"
"Phir Hera Pheri (2006)","6.9","","9 June 2006 (USA)"
"Mirzapur","8.4","","TV Series (2018– )"
"Godzilla (2014)","6.4","","16 May 2014 (USA)"
"The Pursuit of Happyness (2006)","8.0","","15 December 2006 (USA)"
"Forrest Gump (1994)","8.8","","6 July 1994 (USA)"
"War (2019)","6.5","","2 October 2019 (USA)"
"Stranger Things","8.7","","TV Series (2016– )"
"Kaho Naa... Pyaar Hai (2000)","6.9","","14 January 2000 (India)"
"Kabhi Khushi Kabhie Gham... (2001)","7.4","","14 December 2001 (USA)"
"Hum Aapke Hain Koun...! (1994)","7.5","","5 August 1994 (India)"
"Tirangaa (1992)","6.9","","29 January 1993 (India)"
